preset,exchange_id,uptake_limit,origin,source_value,factor,scale
gut_overlay_agora_high_fiber.csv,EX_na1_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_nac_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_nh4_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_ni2_m,0.1,assumption_trace_micronutrient,,,1.0
gut_overlay_agora_high_fiber.csv,EX_nmn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_o2_m,0.001,micom_anaerobic_o2,,,1.0
gut_overlay_agora_high_fiber.csv,EX_ocdca_m,0.00846413,agora_table12,0.0846413,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ocdcea_m,0.034072233,agora_table12,0.34072233,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_octa_m,0.000647136,agora_table12,0.00647136,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_orn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_oxa_m,0.011842105,agora_table12,0.11842105,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_phe__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pheme_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pi_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pnto__R_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pro__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ptrc_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pydam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pydx_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_pydxn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_raffin_m,0.10416667,agora_table12,0.10416667,1.0,1.0
gut_overlay_agora_high_fiber.csv,EX_rib__D_m,0.004736842000000001,agora_table12,0.04736842,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ribflv_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_rmn_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_sel_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ser__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_slnt_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_so3_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_so4_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_spmd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_sucr_m,0.001973684,agora_table12,0.01973684,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_thm_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_thr__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_thymd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_tre_m,0.01973684,agora_table12,0.01973684,1.0,1.0
gut_overlay_agora_high_fiber.csv,EX_trp__L_m,0.008181818,agora_table12,0.08181818,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ttdca_m,0.0034337840000000005,agora_table12,0.03433784,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_tungs_m,0.0,background_closure,,,1.0
gut_overlay_agora_high_fiber.csv,EX_tyr__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ura_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_uri_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_val__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_xan_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_xyl__D_m,0.004736842000000001,agora_table12,0.04736842,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_zn2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_ac_m,0.0,background_closure,,,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_ala__L_m,0.00617473828510432,vmh_diet,84.4704197402271,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_arg__L_m,0.0032872789356921343,vmh_diet,44.9699758402684,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_ascb__L_m,2.061287946407595e-05,vmh_diet,0.281984191068559,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_asp__L_m,0.007298165457116653,vmh_diet,99.8389034533558,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_btn_m,1.268184165563911e-08,vmh_diet,0.000173487593849143,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_but_m,0.0019597315930124488,vmh_diet,26.8091281924103,0.1,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_ca2_m,0.02943018424014693,vmh_diet,40.260492040521,1.0,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_cbl1_m,0.0,background_closure,,,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_cd2_m,0.0,background_closure,,,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_cl_m,0.5369702874887646,vmh_diet,734.57535328463,1.0,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_co2_m,0.0,background_closure,,,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_cobalt2_m,0.1,micom_western_inorganic,,,1.0
gut_overlay_vmh_high_fat_low_carb.csv,EX_cro4_m,0.0,background_closure,,,1.0
